variant,projection,dt,cfl,error
SL,Euler,0.04,1.27076951479924,0.0001539370679429244
SL,Euler,0.03,0.9530771360994299,9.114578619197953e-5
SL,Euler,0.025,0.794230946749525,6.795255483693123e-5
SL,Euler,0.02,0.63538475739962,4.9193920751012376e-5
SL,Euler,0.01,0.31769237869981,2.1538864739643697e-5
SL,Euler,0.0066,0.2096769699418746,1.4018691325658475e-5
SL,Euler,0.005,0.158846189349905,1.0626466472563374e-5
SL,Euler,0.0025,0.0794230946749525,5.360726734566424e-6
SL,Heun,0.04,1.27076951479924,0.00010607767535367952
SL,Heun,0.03,0.9530771360994299,6.823091845372143e-5
SL,Heun,0.025,0.794230946749525,5.576258528023699e-5
SL,Heun,0.02,0.63538475739962,4.440819240846224e-5
SL,Heun,0.01,0.31769237869981,2.2263151868188466e-5
SL,Heun,0.0066,0.2096769699418746,1.4627506655361341e-5
SL,Heun,0.005,0.158846189349905,1.1053252469942228e-5
SL,Heun,0.0025,0.0794230946749525,5.4960934991385035e-6
SL,RK4,0.04,1.27076951479924,8.231816707310647e-5
SL,RK4,0.03,0.9530771360994299,6.4179201880832e-5
SL,RK4,0.025,0.794230946749525,5.467446801579284e-5
SL,RK4,0.02,0.63538475739962,4.4381941955213124e-5
SL,RK4,0.01,0.31769237869981,2.2309265255423037e-5
SL,RK4,0.0066,0.2096769699418746,1.4642353314426572e-5
SL,RK4,0.005,0.158846189349905,1.1059852135115058e-5
SL,RK4,0.0025,0.0794230946749525,5.4969227331638035e-6
FD,Euler,0.04,1.27076951479924,0.0011416184313628947
FD,Euler,0.03,0.9530771360994299,0.0006436469321940018
FD,Euler,0.025,0.794230946749525,0.0004483113602540662
FD,Euler,0.02,0.63538475739962,0.00028854013850262555
FD,Euler,0.01,0.31769237869981,7.54122351791283e-5
FD,Euler,0.0066,0.2096769699418746,3.514676263983333e-5
FD,Euler,0.005,0.158846189349905,2.1770769094897875e-5
FD,Euler,0.0025,0.0794230946749525,7.666117322786237e-6
FD,Heun,0.04,1.27076951479924,0.00011745053742327134
FD,Heun,0.03,0.9530771360994299,8.269312049281497e-5
FD,Heun,0.025,0.794230946749525,6.918897773305035e-5
FD,Heun,0.02,0.63538475739962,5.5515653958887435e-5
FD,Heun,0.01,0.31769237869981,2.7139225423706457e-5
FD,Heun,0.0066,0.2096769699418746,1.750839555012799e-5
FD,Heun,0.005,0.158846189349905,1.3085191296756965e-5
FD,Heun,0.0025,0.0794230946749525,6.374811381900417e-6
FD,RK4,0.04,1.27076951479924,0.00010325485814211188
FD,RK4,0.03,0.9530771360994299,8.089295623638387e-5
FD,RK4,0.025,0.794230946749525,6.894503587161872e-5
FD,RK4,0.02,0.63538475739962,5.571488814420059e-5
FD,RK4,0.01,0.31769237869981,2.7183557620745687e-5
FD,RK4,0.0066,0.2096769699418746,1.752126220001131e-5
FD,RK4,0.005,0.158846189349905,1.309071953149595e-5
FD,RK4,0.0025,0.0794230946749525,6.375476580239552e-6
